Vulnerability ID,Severity,Package name,Package version,Package type,Package path,Image,OS Name,CVSS version,CVSS score,CVSS vector,Vuln link,Vuln Publish date,Vuln Fix date,Fix version,Public Exploit,K8S cluster name,K8S namespace name,K8S workload type,K8S workload name,K8S container name,Image ID,K8S POD count,Package suggested fix
CVE-2022-3715,Medium,bash,4.4.20,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.1,5.5,AV:L/AC:H/PR:L/UI:R/S:U/C:L/I:L/A:H,https://access.redhat.com/security/cve/CVE-2022-3715,2022-10-27,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2021-39537,Medium,ncurses-base,6.1,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.1,5.5,AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,https://access.redhat.com/security/cve/CVE-2021-39537,2020-08-04,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2021-39537,Medium,ncurses-libs,6.1,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.1,5.5,AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,https://access.redhat.com/security/cve/CVE-2021-39537,2020-08-04,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2021-35937,Medium,rpm,4.14.3,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.1,6.3,AV:L/AC:H/PR:H/UI:R/S:U/C:H/I:H/A:H,https://access.redhat.com/security/cve/CVE-2021-35937,2021-06-29,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2021-35937,Medium,rpm-libs,4.14.3,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.1,6.3,AV:L/AC:H/PR:H/UI:R/S:U/C:H/I:H/A:H,https://access.redhat.com/security/cve/CVE-2021-35937,2021-06-29,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2018-20839,Medium,systemd-libs,239,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.0,6.4,AV:P/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,https://access.redhat.com/security/cve/CVE-2018-20839,2018-04-30,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,0:239-58.el8_6.4
CVE-2018-20839,Medium,systemd-pam,239,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.0,6.4,AV:P/AC:L/PR:L/UI:R/S:U/C:H/I:H/A:H,https://access.redhat.com/security/cve/CVE-2018-20839,2018-04-30,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,0:239-58.el8_6.4
CVE-2021-35938,Medium,rpm,4.14.3,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.1,6.5,AV:L/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H,https://access.redhat.com/security/cve/CVE-2021-35938,2021-06-29,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2021-35938,Medium,rpm-libs,4.14.3,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.1,6.5,AV:L/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H,https://access.redhat.com/security/cve/CVE-2021-35938,2021-06-29,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2021-35939,Medium,rpm,4.14.3,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.1,6.5,AV:L/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H,https://access.redhat.com/security/cve/CVE-2021-35939,2017-05-17,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2021-35939,Medium,rpm-libs,4.14.3,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.1,6.5,AV:L/AC:L/PR:H/UI:R/S:U/C:H/I:H/A:H,https://access.redhat.com/security/cve/CVE-2021-35939,2017-05-17,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2021-42694,Medium,libgcc,8.5.0,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.1,8.5,AV:N/AC:H/PR:L/UI:N/S:C/C:H/I:H/A:H,https://access.redhat.com/security/cve/CVE-2021-42694,2021-11-01,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2019-14250,Low,libgcc,8.5.0,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.0,3.3,AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:L,https://access.redhat.com/security/cve/CVE-2019-14250,2019-06-18,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
CVE-2018-19211,Low,ncurses-base,6.1,os,,docker.io/calico/node:v3.23.2,redhat 8.6,3.0,4.7,AV:L/AC:H/PR:N/UI:R/S:U/C:N/I:N/A:H,https://access.redhat.com/security/cve/CVE-2018-19211,2018-04-12,,,false,containerd-lab,kube-system,daemonset,calico-node,calico-node,sha256:a3447b26d32c74054202a7a312bc78fe4257c157272048efd566fdb321ecf1be,6,
